reporterISO,flowCode,refYear,regime_index,primaryValue
IND,M,2014,0.0,169187489113.0
IND,M,2014,1.0,86306597453.0
IND,M,2014,2.0,56211337390.0
IND,M,2014,3.0,135355129199.0
IND,M,2015,0.0,137603570138.0
IND,M,2015,1.0,62839988435.0
IND,M,2015,2.0,50363925307.0
IND,M,2015,3.0,127125334911.0
IND,M,2016,0.0,129030384511.0
IND,M,2016,1.0,58326634526.0
IND,M,2016,2.0,42864628984.0
IND,M,2016,3.0,113820421805.0
IND,M,2017,0.0,157666150430.05
IND,M,2017,1.0,77181529068.7
IND,M,2017,2.0,56640968066.97
IND,M,2017,3.0,139632197864.976
IND,M,2018,0.0,177858033757.68
IND,M,2018,1.0,107893186200.303
IND,M,2018,2.0,62205787445.284
IND,M,2018,3.0,152092537690.16
IND,M,2019,0.0,174877381173.572
IND,M,2019,1.0,93608397147.065
IND,M,2019,2.0,57920351360.308
IND,M,2019,3.0,147464791796.206
IND,M,2020,0.0,140630736436.55
IND,M,2020,1.0,67194310938.787
IND,M,2020,2.0,48680688042.114
IND,M,2020,3.0,107193509540.104
IND,M,2021,0.0,225651744223.44598
IND,M,2021,1.0,99401284002.231
IND,M,2021,2.0,62836246686.387
IND,M,2021,3.0,176038002417.942
IND,M,2022,0.0,294141037348.547
IND,M,2022,1.0,158614013549.068
IND,M,2022,2.0,80820286055.075
IND,M,2022,3.0,190659844839.341
IND,M,2023,0.0,243839560840.99298
IND,M,2023,1.0,151881701983.26
IND,M,2023,2.0,93144390717.716
IND,M,2023,3.0,174462240070.043
IND,M,2024,0.0,261920517988.783
IND,M,2024,1.0,177810760605.164
IND,M,2024,2.0,89031528929.19301
IND,M,2024,3.0,156950495581.59
IND,X,2000,0.0,8061597792.0
IND,X,2000,1.0,4877090173.0
IND,X,2000,2.0,3159453391.0
IND,X,2000,3.0,24521493496.0
IND,X,2001,0.0,8290842110.0
IND,X,2001,1.0,6065575941.0
IND,X,2001,2.0,3771800971.0
IND,X,2001,3.0,23219279696.0
IND,X,2002,0.0,9969334057.0
IND,X,2002,1.0,7049668677.0
IND,X,2002,2.0,4542370406.0
IND,X,2002,3.0,27033940956.0
IND,X,2003,0.0,13919019721.0
IND,X,2003,1.0,8744618325.0
IND,X,2003,2.0,5430062614.0
IND,X,2003,3.0,30496975328.0
IND,X,2004,0.0,18731611106.0
IND,X,2004,1.0,12607695088.0
IND,X,2004,2.0,6558658585.0
IND,X,2004,3.0,36942508028.0
IND,X,2005,0.0,25606501550.0
IND,X,2005,1.0,18162872234.0
IND,X,2005,2.0,6998760002.0
IND,X,2005,3.0,48699180151.0
IND,X,2006,0.0,30685916808.0
IND,X,2006,1.0,23292948156.0
IND,X,2006,2.0,8842495945.0
IND,X,2006,3.0,57220213605.0
IND,X,2007,0.0,43430450345.0
IND,X,2007,1.0,25474099925.0
IND,X,2007,2.0,9097768330.0
IND,X,2007,3.0,66094826417.0
IND,X,2008,0.0,48612867749.0
