reporterISO,flowCode,refYear,regime_index,primaryValue,share
BEL,X,2004,3.0,273287144411.0,89.58
BEL,X,2005,0.0,9961317047.0,3.0
BEL,X,2005,1.0,9865558517.0,2.97
BEL,X,2005,2.0,16128101464.0,4.85
BEL,X,2005,3.0,296325365086.0,89.18
BEL,X,2006,0.0,11442689050.0,3.15
BEL,X,2006,1.0,12087450158.0,3.33
BEL,X,2006,2.0,16891843027.0,4.66
BEL,X,2006,3.0,322314990869.0,88.86
BEL,X,2007,0.0,14551983631.0,3.41
BEL,X,2007,1.0,14043506559.0,3.29
BEL,X,2007,2.0,20870918186.0,4.89
BEL,X,2007,3.0,377238879079.0,88.41
BEL,X,2008,0.0,15116595104.0,3.25
BEL,X,2008,1.0,18193627849.0,3.91
BEL,X,2008,2.0,23424788523.0,5.04
BEL,X,2008,3.0,408222676034.0,87.8
BEL,X,2009,0.0,15033947446.0,4.1
BEL,X,2009,1.0,14542637992.0,3.97
BEL,X,2009,2.0,18086771296.0,4.94
BEL,X,2009,3.0,318626003057.0,86.99
BEL,X,2010,0.0,13379551014.706999,4.97
BEL,X,2010,1.0,12662236991.391,4.71
BEL,X,2010,2.0,20041079004.05,7.45
BEL,X,2010,3.0,222884381289.26,82.87
BEL,X,2011,0.0,17234910851.91,5.38
BEL,X,2011,1.0,16546072867.14,5.16
BEL,X,2011,2.0,25107423349.327,7.84
BEL,X,2011,3.0,261466374093.118,81.62
BEL,X,2012,0.0,16226225653.756,5.44
BEL,X,2012,1.0,14641780987.172,4.91
BEL,X,2012,2.0,24326093877.031,8.15
BEL,X,2012,3.0,243116266453.12,81.5
BEL,X,2013,0.0,18283637179.755,5.9
BEL,X,2013,1.0,18067190167.211,5.83
BEL,X,2013,2.0,24001535201.329002,7.74
BEL,X,2013,3.0,249771619562.089,80.54
BEL,X,2014,0.0,18970401518.721,6.07
BEL,X,2014,1.0,17063211687.63,5.46
BEL,X,2014,2.0,23772141669.524,7.61
BEL,X,2014,3.0,252504611334.316,80.85
BEL,X,2015,0.0,14683330394.475,5.89
BEL,X,2015,1.0,12240008007.528,4.91
BEL,X,2015,2.0,18616541993.075,7.47
BEL,X,2015,3.0,203750275217.183,81.73
BEL,X,2016,0.0,15819243459.255,5.9
BEL,X,2016,1.0,13255008848.06,4.94
BEL,X,2016,2.0,26850522009.305,10.01
BEL,X,2016,3.0,212309242993.671,79.15
BEL,X,2017,0.0,17915188421.868,6.12
BEL,X,2017,1.0,23747748099.207,8.12
BEL,X,2017,2.0,20996019341.138,7.18
BEL,X,2017,3.0,229882116007.555,78.58
BEL,X,2018,0.0,16238897578.391,5.13
BEL,X,2018,1.0,27261394220.364002,8.61
BEL,X,2018,2.0,20800026007.146,6.57
BEL,X,2018,3.0,252440704294.01898,79.7
BEL,X,2019,0.0,15136574024.737999,4.93
BEL,X,2019,1.0,24960156343.418,8.13
BEL,X,2019,2.0,21740797593.197998,7.08
BEL,X,2019,3.0,245069859553.944,79.85
BEL,X,2020,0.0,15384338564.956,5.27
