reporterISO,refYear,flowCode,v2x_regime,primaryValue,share
ALB,2014,X,1.0,394311299.0,16.24
ALB,2014,X,2.0,200868030.0,8.27
ALB,2014,X,3.0,1726224677.0,71.09
ALB,2015,M,0.0,431274019.0,10.03
ALB,2015,M,1.0,823117764.0,19.14
ALB,2015,M,2.0,368655409.0,8.57
ALB,2015,M,3.0,2677844427.0,62.26
ALB,2015,X,0.0,74838602.0,3.9
ALB,2015,X,1.0,342043947.0,17.83
ALB,2015,X,2.0,151325334.0,7.89
ALB,2015,X,3.0,1349672920.0,70.37
ALB,2016,M,0.0,469409000.0,10.09
ALB,2016,M,1.0,828068838.0,17.8
ALB,2016,M,2.0,449008585.0,9.65
ALB,2016,M,3.0,2904969505.0,62.45
ALB,2016,X,0.0,79942714.0,4.09
ALB,2016,X,1.0,290882661.0,14.88
ALB,2016,X,2.0,162908374.0,8.34
ALB,2016,X,3.0,1420664499.0,72.69
ALB,2017,M,0.0,483608382.902,9.17
ALB,2017,M,1.0,1023011376.07,19.39
ALB,2017,M,2.0,531149428.962,10.07
ALB,2017,M,3.0,3237049483.467,61.37
ALB,2017,X,0.0,89111609.342,3.88
ALB,2017,X,1.0,298275673.794,12.98
ALB,2017,X,2.0,195325250.301,8.5
ALB,2017,X,3.0,1714781660.692,74.64
ALB,2018,M,0.0,564458019.095,9.54
ALB,2018,M,1.0,1185551342.964,20.04
ALB,2018,M,2.0,587421743.214,9.93
ALB,2018,M,3.0,3579890556.6200004,60.5
ALB,2018,X,0.0,67089687.83,2.34
ALB,2018,X,1.0,443163899.221,15.47
ALB,2018,X,2.0,193583217.174,6.76
ALB,2018,X,3.0,2160291244.12,75.43
ALB,2019,M,0.0,608864302.4970001,10.74
ALB,2019,M,1.0,1070618048.8189999,18.88
ALB,2019,M,2.0,629506025.117,11.1
ALB,2019,M,3.0,3361744802.7599998,59.28
ALB,2019,X,0.0,73817584.15100001,2.75
ALB,2019,X,1.0,411250287.19200003,15.3
ALB,2019,X,2.0,206206236.75800002,7.67
ALB,2019,X,3.0,1996716767.143,74.28
ALB,2020,M,0.0,567183268.567,10.52
ALB,2020,M,1.0,1133411833.1959999,21.02
ALB,2020,M,2.0,641061695.601,11.89
ALB,2020,M,3.0,3050049164.449,56.57
ALB,2020,X,0.0,66032075.51099999,2.74
ALB,2020,X,1.0,407534300.393,16.88
